,abstract_no,sentence
241,30,"The literature search of the male and paediatric pSS studies identified 2025 and 186 citations, respectively, out of which 7 and 5 fulfilled our inclusion criteria and were analysed further."
242,30,The range of age at disease onset was 9.4-10.7years for children and 39.4-56.9years at diagnosis for male patients.
243,30,"We identified a prevalence of extra-glandular manifestations between 52.6-92.3% in the male population and 50.0-84.6% in children, while abnormal sialometry was only reported in the paediatric population, with a prevalence between 71.4 and 81.8%."
244,30,"There was a significant variation of positive serological markers, with anti-Ro antibodies reported between 15.7-75.0% and 36.4-84.6%, and anti-La antibodies between 5.6-51.7% and 27.3-65.4%, in the male and paediatric populations, respectively."
245,30,The characteristics of pSS in the male and paediatric populations varied according to different studies.
246,30,"When compared to data available from pSS adult populations, children diagnosed with pSS reported less dryness and had a higher prevalence of parotitis, lymphadenopathy and systemic symptoms and male patients were younger at the time of diagnosis."
247,30,This systematic review contributes to a better understanding of the epidemiology of pSS in rare populations.
248,30,Large longitudinal cohort studies comparing male with female patients and adult with paediatric patients are needed.
249,31,PURPOSE: Diagnostic testing for dry eye disease (DED) in Sjogren's syndrome (SS) is well described.
250,31,Little is published about monitoring this systemic autoimmune DED.
251,31,We analyzed the SS related DED tests used in North American optometric practices and compared academic settings to private practice settings.
252,31,METHODS: A retrospective chart review of 123 SS charts from 6 optometric practices in North America was conducted.
253,31,Testing done during the first examination following a SS diagnosis was recorded on Research Electronic Data Capture (REDCap) database.
254,31,The complete data file was reviewed and testing type and methodology were compared.
255,31,"RESULTS: Symptoms of DED (98.4% of charts),meibomian gland dysfunction (76.4% of charts), corneal staining with fluorescein (75.6% of charts) and anterior blepharitis (73.2% of charts) were the most frequently recorded variables."
256,31,Clinicians used different methodologies to measure and grade these variables.
257,31,Private practitioners were more likely to use symptom questionnaires and grading scales and to describe anterior blepharitis.
258,31,Academic settings were more likely to record TBUT and tear meniscus height.
259,31,CONCLUSIONS: The monitoring of DED in SS is not uniform in optometric offices across North America.
260,31,Creating accepted standards of testing will improve the ability of clinicians and researchers to communicate and understand the course of DED in SS.
261,32,"Sjgren syndrome (SjS) is a systemic autoimmune disease that primarily affects the exocrine glands (mainly the salivary and lacrimal glands) and results in the severe dryness of mucosal surfaces, principally in the mouth and eyes."
262,32,"This disease predominantly affects middle-aged women, but can also be observed in children, men and the elderly."
263,32,The clinical presentation of SjS is heterogeneous and can vary from sicca symptoms to systemic disease (characterized by peri-epithelial lymphocytic infiltration of the affected tissue or the deposition of the immune complex) and lymphoma.
264,32,"The mechanism underlying the development of SjS is the destruction of the epithelium of the exocrine glands, as a consequence of abnormal B cell and T cell responses to the autoantigens Ro/SSA and La/SSB, among others."
265,32,Diagnostic criteria for SjS include the detection of autoantibodies in patient serum and histological analysis of biopsied salivary gland tissue.
266,32,Therapeutic approaches for SjS include both topical and systemic treatments to manage the sicca and systemic symptoms of disease.
267,32,"SjS is a serious disease with excess mortality, mainly related to the systemic involvement of disease and the development of lymphomas in some patients."
268,32,"Knowledge of SjS has progressed substantially, but this disease is still characterized by sicca symptoms, the systemic involvement of disease, lymphocytic infiltration to exocrine glands, the presence of anti-Ro/SSA and anti-La/SSB autoantibodies and the increased risk of lymphoma in patients with SjS."
269,33,"Sjgren's syndrome is a systemic autoimmune disease characterized by exocrine glands damage, resulting in the development of dry eyes and dry mouth, as well as extraglandular manifestation."
270,33,It usually starts between the ages of 30 and 50.
271,33,"Late-onset Sjgren's syndrome should be considered as a disease that appears after age 65, but the literature also reports of the age 50, 60, or even 70."
272,33,The prevalence of late-onset Sjgren's syndrome is estimated about 20%.
273,33,The course of late-onset Sjgren's syndrome may differ when compared with patients with a younger onset.
274,33,Lack of sicca symptoms and marker antibodies may be associated with a delay in Sjgren's syndrome diagnosis.
275,33,"Particularly in the elderly, the occurrence of sicca symptoms may be considered as age-related and medication-related."
276,34,OBJECTIVE: Optimize the diagnosis of pediatric Sjgren's syndrome in children who present with parotitis.
277,34,METHODS: Twenty children presented to a pediatric otolaryngology or rheumatology clinic with recurrent parotitis.
278,34,"Presenting symptoms, serologies, sialendoscopy findings, and minor salivary gland biopsy pathology results were reviewed."
279,34,RESULTS: Twenty patients aged 3-17 years presented with recurrent parotitis.
280,34,Ten percent of this cohort met the American-European Consensus Group adult diagnostic criteria for Sjgren's syndrome.
281,34,Forty percent of this cohort met diagnosis of Sjgren's syndrome when utilizing Bartunkova's proposed pediatric criteria for diagnosis of Sjgren's syndrome.
282,34,CONCLUSION: Sjgren's syndrome is surprisingly common in pediatric patients who present with recurrent parotitis.
283,34,Otolaryngologists who treat pediatric parotitis should have a high index of suspicion for Sjgren's syndrome.
284,34,LEVEL OF EVIDENCE: 4.
285,35,Primary Sjgren's syndrome (pSS) is an autoimmune disease affecting the salivary and lachrymal glands.
286,35,"The patients complain of symptoms of dry eyes and dry mouth, but up to 50% may additionally develop extraglandular manifestations such as arthritis, vasculitis, polyneuropathy, pulmonary fibrosis or interstitial nephritis."
287,35,"Most therapeutic studies on the glandular manifestations of pSS failed to meet their primary endpoints, possibly since many of the patients had already advanced and irreversible disease.In recent years several important advances have been made."
